Block Name,Point ID,material_id,Points_0,Points_1,Points_2,Points_Magnitude
block_106,0,106,0,0.835888,10.668,10.7007
block_106,1,106,0.00636137,0.42521,10.668,10.6765
block_106,2,106,0.36195,0.626916,10.668,10.6925
block_106,3,106,0,0.835888,8.89,8.92921
block_106,4,106,0.00636137,0.42521,8.89,8.90017
block_106,5,106,0.36195,0.626916,8.89,8.91942
block_106,6,106,0.368245,0.217017,10.668,10.6766
block_106,7,106,0.7239,0.417944,10.668,10.7007
block_106,8,106,0.368245,0.217017,8.89,8.90027
block_106,9,106,0.7239,0.417944,8.89,8.92921
block_106,10,106,-0.364276,0.218077,10.668,10.6764
block_106,11,106,-0.36195,0.626916,10.668,10.6925
block_106,12,106,-0.364276,0.218077,8.89,8.90013
block_106,13,106,-0.36195,0.626916,8.89,8.91942
block_106,14,106,-0.7239,0.417944,10.668,10.7007
block_106,15,106,-0.7239,0.417944,8.89,8.92921
block_106,16,106,-0.381395,-0.208972,10.668,10.6769
block_106,17,106,-0.7239,5.55112e-17,10.668,10.6925
block_106,18,106,-0.7239,-0.417944,10.668,10.7007
block_106,19,106,-0.381395,-0.208972,8.89,8.90063
block_106,20,106,-0.7239,5.55112e-17,8.89,8.91942
block_106,21,106,-0.7239,-0.417944,8.89,8.92921
block_106,22,106,0,-0.835888,10.668,10.7007
block_106,23,106,-0.00972244,-0.434784,10.668,10.6769
block_106,24,106,-0.36195,-0.626916,10.668,10.6925
block_106,25,106,0,-0.835888,8.89,8.92921
block_106,26,106,-0.00972244,-0.434784,8.89,8.90063
block_106,27,106,-0.36195,-0.626916,8.89,8.91942
block_106,28,106,0.371672,-0.225812,10.668,10.6769
block_106,29,106,0.36195,-0.626916,10.668,10.6925
block_106,30,106,0.371672,-0.225812,8.89,8.90063
block_106,31,106,0.36195,-0.626916,8.89,8.91942
block_106,32,106,0.7239,-0.417944,10.668,10.7007
block_106,33,106,0.7239,-0.417944,8.89,8.92921
block_106,34,106,0.7239,-5.55112e-17,10.668,10.6925
block_106,35,106,0.7239,-5.55112e-17,8.89,8.91942
block_106,36,106,0.00909704,-0.0185493,10.668,10.668
block_106,37,106,0.00909704,-0.0185493,8.89,8.89002
block_107,0,107,0,0.835888,12.446,12.474
block_107,1,107,0.00636137,0.42521,12.446,12.4533
block_107,2,107,0.36195,0.626916,12.446,12.467
block_107,3,107,0,0.835888,10.668,10.7007
block_107,4,107,0.00636137,0.42521,10.668,10.6765
block_107,5,107,0.36195,0.626916,10.668,10.6925
block_107,6,107,0.368245,0.217017,12.446,12.4533
block_107,7,107,0.7239,0.417944,12.446,12.474
block_107,8,107,0.368245,0.217017,10.668,10.6766
block_107,9,107,0.7239,0.417944,10.668,10.7007
