x,y,z,nuFissRate,nuFissRateRelError,scalarFlux,scalarFluxRelError
0.7239,0.417944,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.364276,0.218077,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.36195,0.626916,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.364276,0.218077,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.36195,0.626916,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.7239,0.417944,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.7239,0.417944,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.381395,-0.208972,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.7239,5.55112e-17,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.7239,-0.417944,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.381395,-0.208972,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.7239,5.55112e-17,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.7239,-0.417944,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.0,-0.835888,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.00972244,-0.434784,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.36195,-0.626916,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.0,-0.835888,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.00972244,-0.434784,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
-0.36195,-0.626916,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.371672,-0.225812,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.36195,-0.626916,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.371672,-0.225812,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.36195,-0.626916,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.7239,-0.417944,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.7239,-0.417944,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.7239,-5.55112e-17,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.7239,-5.55112e-17,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.00909704,-0.0185493,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.00909704,-0.0185493,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.0,0.835888,7.112,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
0.00636137,0.42521,7.112,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
0.36195,0.626916,7.112,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
0.0,0.835888,5.334,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
0.00636137,0.42521,5.334,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
0.36195,0.626916,5.334,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
0.368245,0.217017,7.112,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
0.7239,0.417944,7.112,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
0.368245,0.217017,5.334,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
0.7239,0.417944,5.334,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.364276,0.218077,7.112,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.36195,0.626916,7.112,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.364276,0.218077,5.334,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.36195,0.626916,5.334,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.7239,0.417944,7.112,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.7239,0.417944,5.334,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.381395,-0.208972,7.112,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.7239,5.55112e-17,7.112,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.7239,-0.417944,7.112,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.381395,-0.208972,5.334,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.7239,5.55112e-17,5.334,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
-0.7239,-0.417944,5.334,0.01986452,0.3538560925880972,0.3177408,0.6831723743447842
